item,amount,units
Sugarbeet,36,ton
Dry Nitrogen,100,lb
Liquid Nitrogen,35,lb
Dry P2O5,50,lb
K20,100,lb
Micronutrients,1,ac
Telone II,20,gal
Poncho Beta Seed Treatment,0.44,unit
Roundup Original Max,54,oz
AMS,2.4,lb
Eptam 7EC,3.7,pt
Treflan 4HFP,1,pt
Headline,9,oz
Gen 25WG,6.5,oz
Sugarbeet,0.44,unit
Labor (Machine),8.25,hr
Labor (non-machine),6.9,hr
Fuel - Gas,2.5,gal
Fuel - Diesel,33.6,gal
Lubricants,1,acre
Repair,1,acre
Custom Fertilize,1,acre
Custom Fumigate - Deep,1,acre
Consultant,1,acre
Custom Air Spray - 5G,1,acre
Custom Sidedress,1,acre
Water,1,acre
Crop Insurance,1,acre
