price_id,item,location,year,auth_id,price,unit
,Karmex,CA,,UCD,5.42,lb
,Maintenance,CA,,UCD,0,
,Repair,CA,,UCD,1,
,Mulch,CA,,UCD,8.33,lbN
,UN32,CA,,UCD,0.8,lbN
,Surflan AS,CA,,UCD,4.63,pint
,Bee Hives,CA,,UCD,165,hive
,Pick Berries,CA,,UCD,2.66,hrs
,Cool and Pack,CA,,UCD,0.95,lb
,10-34-00,CA,,UCD,0.6,lb
,Yukon,CA,,UCD,3.8,oz
,Lorban 15G,CA,,UCD,0.19,oz
,Oberon 25C,CA,,UCD,4.8,floz
,Corn,CA,,UCD,1.8,thou
,Water,CA,,UCD,4.58,acin
,11-52-0,CA,,UCD,0.44,lb
,Lorsban 4E,CA,,UCD,8.65,pint
,Lannate 90 SP,CA,,UCD,19.94,lb
,Treflan TR 10,CA,,UCD,1.1,lb
,Select Max,CA,,UCD,1.22,floz
,Velpar L,CA,,UCD,10.15,pint
,Air Application,CA,,UCD,10.97,
,Swath Rake,CA,,UCD,18.94,
,Roadside Hay,CA,,UCD,6.63,ton
,Tissue Analysis,CA,,UCD,20.44,each
,Broadcast Fertilizer,CA,,UCD,9.47,
,Sulfuric Acid,CA,,UCD,0.15,lbN
,Success,CA,,UCD,6.5,floz
,Devrinol 50DF,CA,,UCD,13.35,lb
,Pristine,CA,,UCD,3.13,oz
,80-00-00,CA,,UCD,0.45,lb N
,Prowl H20,CA,,UCD,6.87,pint
,Labor (Machine),CA,,UCD,13.94,hrs
,Labor (non-machine),CA,,UCD,10.26,hrs
,Fuel - Gas,CA,,UCD,3.36,gal
,Fuel - Diesel,CA,,UCD,3.7,gal
,Ground Application,CA,,UCD,9.97,acre
,Harvest for Grain,CA,,UCD,13.96,ton
,Haul Local,CA,,UCD,0.35,cwt
,11-52-0,CA,,UCD,0.44,lb
,Lannate 90 SP,CA,,UCD,19.94,lb
,Treflan TR 10,CA,,UCD,1.1,lb
,Select Max,CA,,UCD,1.22,floz
,Velpar L,CA,,UCD,10.15,pint
,Karmex,CA,,UCD,5.42,lb
,Swath Rake,CA,,UCD,18.94,
,Roadside Hay,CA,,UCD,6.63,ton
,Tissue Analysis,CA,,UCD,20.44,each
,Broadcast Fertilizer,CA,,UCD,9.47,
,Sulfuric Acid,CA,,UCD,0.15,lbN
,Mulch,CA,,UCD,8.33,lbN
,Success,CA,,UCD,6.5,floz
,Devrinol 50DF,CA,,UCD,13.35,lb
,Surflan AS,CA,,UCD,4.63,pint
,Pristine,CA,,UCD,3.13,oz
,Bee Hives,CA,,UCD,165,hive
,Pick Berries,CA,,UCD,2.66,hrs
,Cool and Pack,CA,,UCD,0.95,lb
,Harvest,CA,,UCD,9,ton
,10-34-00,CA,,UCD,0.6,lb
,80-00-00,CA,,UCD,0.45,lb N
,Lorban 15G,CA,,UCD,0.19,oz
,Oberon 25C,CA,,UCD,4.8,floz
,Corn,CA,,UCD,1.8,thou
,Ground Application,CA,,UCD,9.97,acre
,Harvest for Grain,CA,,UCD,13.96,ton
,Haul Local,CA,,UCD,0.35,cwt
,Application,CA,,UCD,10.97,
,Swathing,CA,,UCD,17,acre
,Baling,CA,,UCD,1.2,bales
,32-0-0,CA,,UCD,0.939,lb N
,46-0-0,CA,,UCD,1.223,lb N
,Puma 1EC,CA,,UCD,2.1,floz
,Wheat,CA,,UCD,0.16,lb
,Maintenance,CA,,UCD,2.99,
,Combine Wheat,CA,,UCD,25.92,
,Pest Control Consultant,CA,,UCD,7.98,
,Wheat Assesment,CA,,UCD,1,
,Clarity,CA,,UCD,18.98,pint
,Susan Seed,CA,,UCD,1.5,lb
,Injection-Sidedress,CA,,UCD,14,acre
,Swath,CA,,UCD,17,acre
,Rake,CA,,UCD,8.5,acre
,Bale,CA,,UCD,1.2,bales
,Roadside Bales,CA,,UCD,0.4,bales
,Ridomil Gold EC,CA,,UCD,6.94,floz
,Rally 40 WSP,CA,,UCD,5.34,oz
,Karmex DF,CA,,UCD,5.42,lb
,Di-Syston,CA,,UCD,19.06,pt
,Packing,CA,,UCD,14.9,crt
,Additional Cost of harvest,CA,,UCD,9.28,crt
,80-0-0,CA,,UCD,0.45,lb N
,Yukon,CA,,UCD,3.8,oz
,Prowl H20,CA,,UCD,6.87,pint
,Lorsban 15G,CA,,UCD,0.19,oz
,Lorsban 4E,CA,,UCD,8.65,pint
,Sorghum,CA,,UCD,1.6,lb
,Fuel - Gas,CA,,UCD,3.36,gal
,Lube,CA,,UCD,5,
,Repair,CA,,UCD,6,
,Plant,CA,,UCD,20,
,Injection-Sidedress NH3,CA,,UCD,14,
,Harvest Combine Grain,CA,,UCD,14,
,Harvest: Haul Grain,CA,,UCD,7,
,Alcala,CA,,UCD,3,lb
,UN32,CA,,UCD,0.84,lbN
,13-0-45,CA,,UCD,0.66,lb
,Orthene,CA,,UCD,0.98,oz
,Zephyr,CA,,UCD,6.25,floz
,Carbine 50WG,CA,,UCD,6.87,oz
,Assail 70WP,CA,,UCD,16.82,oz
,Finish 6 Pro,CA,,UCD,13.75,pint
,Ginstar,CA,,UCD,2.74,floz
,Defol 5,CA,,UCD,6.37,gal
,Roundup Ultra Max,CA,,UCD,0.22,floz
,Triflurex HFP,CA,,UCD,4.52,pt
,Staple,CA,,UCD,72.88,floz
,Shark EW,CA,,UCD,9.92,floz
,Mepex Gin Our,CA,,UCD,0.39,floz
,Air Application,CA,,UCD,10,acre
,Cotton Assesment,CA,,UCD,8.2,bale
,18-0-5-4,CA,,UCD,0.66,lb
,Dacthal,CA,,UCD,18.86,lb
,Goal Tender,CA,,UCD,2.04,oz
,Admire,CA,,UCD,3.37,oz
,Leverage,CA,,UCD,3.88,oz
,Synapse WG,CA,,UCD,9.79,oz
,LI 700,CA,,UCD,35.5,oz
,Quadris,CA,,UCD,4.28,oz
,Labor (Machine),CA,,UCD,14.39,hr
,Labor (non-machine),CA,,UCD,11.65,hr
,Fuel - Diesel,CA,,UCD,3.43,gal
,Planting,CA,,UCD,6.25,thou
,Postharvest and packaging,CA,,UCD,4.75,box
,Water,CA,,UCD,8.33,acin
