budget_id,commodity,location,phase,material,unit,amount
,10-34-00,CA,,,lb,200
,80-00-00,CA,,,lb N,240
,Yukon,CA,,,oz,6
,Prowl H20,CA,,,pint,3
,Lorban 15G,CA,,,oz,2
,Oberon 25C,CA,,,floz,7
,Corn,CA,,,thou,33
,Labor (Machine),CA,,,hrs,3.36
,Labor (non-machine),CA,,,hrs,1.95
,Fuel - Gas,CA,,,gal,0.6
,Fuel - Diesel,CA,,,gal,27.91
,Ground Application,CA,,,acre,1
,Harvest for Grain,CA,,,ton,5
,Haul Local,CA,,,cwt,180
,Water,CA,,,acin,44
,Harvest,CA,,,ton,26
,Plant,CA,,,acre,1
,10-34-00,CA,,,lb,200
,80-00-00,CA,,,lb N,240
,Yukon,CA,,,oz,6
,Prowl H20,CA,,,pint,3
,Lorban 15G,CA,,,oz,2
,Oberon 25C,CA,,,floz,7
,Corn,CA,,,thou,33
,Labor (Machine),CA,,,hrs,3.36
,Labor (non-machine),CA,,,hrs,1.95
,Fuel - Gas,CA,,,gal,0.6
,Fuel - Diesel,CA,,,gal,27.91
,Ground Application,CA,,,acre,1
,Harvest for Grain,CA,,,ton,5
,Haul Local,CA,,,cwt,180
,Water,CA,,,acin,44
,oes452091,CA,,,hours,3.36
,oes452092,CA,,,hours,1.95
